"ID";"type";"reactionTime";"startTimeOfStimulus";"deg";"modelNumber";"relativeResistance"
"id11";"hit";6592;0.447891159420069;-0.165094506270977;"m5";-0.327077511246241
"id11";"hit";3578;0.490873498599938;0.168238827062356;"m16";-0.327077511246241
"id11";"hit";1678;-0.208734981502851;0.50157216039569;"m2";-0.327077511246241
"id11";"hit";2827;0.257991887913748;-0.165094506270977;"m12";-0.327077511246241
"id11";"hit";3660;0.29722266646864;-0.165094506270977;"m13";-0.327077511246241
"id11";"hit";2114;-0.224577597776988;-0.165094506270977;"m6";-0.327077511246241
"id11";"incorrect";3658;0.360641617001373;-0.165094506270977;"m15";-0.327077511246241
"id11";"hit";2877;0.385841922459621;-0.49842783960431;"m16";-0.327077511246241
"id11";"hit";6361;0.406308837210103;-0.165094506270977;"m16";-0.327077511246241
"id11";"hit";1965;0.345702041976221;0.168238827062356;"m3";-0.327077511246241
"id11";"hit";1901;0.211548900726024;0.168238827062356;"m13";-0.327077511246241
"id11";"hit";4762;0.226100592261679;-0.49842783960431;"m14";-0.327077511246241
"id11";"incorrect";3339;0.322435093285934;0.50157216039569;"m15";-0.327077511246241
"id11";"hit";3218;-0.0585210395156754;0.168238827062356;"m6";-0.0862611847156288
"id11";"hit";2565;-0.0943032914217591;0.50157216039569;"m13";-0.0862611847156288
"id11";"hit";2339;-0.0757273086825744;-0.49842783960431;"m5";-0.0862611847156288
"id11";"hit";4094;-0.41862843475683;0.50157216039569;"m5";-0.0862611847156288
"id11";"incorrect";3331;-0.390785673026385;0.168238827062356;"m12";-0.0862611847156288
"id11";"hit";2383;-0.111776230487687;-0.165094506270977;"m14";-0.0862611847156288
"id11";"hit";4021;-0.446028766882068;-0.165094506270977;"m15";-0.0862611847156288
"id11";"incorrect";4637;0.0241951146195262;0.168238827062356;"m7";-0.0862611847156288
"id11";"incorrect";2587;-0.278450978060385;-0.49842783960431;"m12";-0.0862611847156288
"id11";"hit";3374;-0.259741660371686;0.50157216039569;"m8";-0.0862611847156288
"id11";"hit";4949;-0.23626258789808;-0.49842783960431;"m6";-0.0862611847156288
"id11";"hit";3019;-0.203237945175138;0.168238827062356;"m7";-0.0862611847156288
"id11";"hit";2716;-0.181910413932335;0.50157216039569;"m2";-0.0862611847156288
"id11";"hit";5313;-0.147006960557143;0.168238827062356;"m15";-0.0862611847156288
"id11";"hit";4075;0.163984687826474;-0.165094506270977;"m5";-0.0862611847156288
"id11";"hit";2804;0.191712296645975;-0.49842783960431;"m12";-0.0862611847156288
"id11";"hit";3932;0.211736781791249;-0.165094506270977;"m6";-0.0862611847156288
"id11";"hit";1813;0.238597713438906;-0.49842783960431;"m3";-0.0862611847156288
"id11";"incorrect";4030;-0.0359874330477183;-0.49842783960431;"m16";-0.0862611847156288
"id11";"hit";4900;-0.0085325548067699;0.168238827062356;"m16";-0.0862611847156288
"id11";"incorrect";2972;-0.299493657365589;-0.49842783960431;"m8";-0.0862611847156288
"id11";"incorrect";1548;0.34920511474074;0.168238827062356;"m14";-0.0862611847156288
"id11";"hit";3377;0.0553288253311712;-0.165094506270977;"m8";-0.0862611847156288
"id11";"incorrect";4575;0.0788260798433471;-0.165094506270977;"m15";-0.0862611847156288
"id11";"hit";1985;0.109584028424542;0.168238827062356;"m3";-0.0862611847156288
"id11";"hit";3534;0.124644817040162;0.50157216039569;"m14";-0.0862611847156288
"id11";"hit";2043;-0.162419268585119;0.168238827062356;"m2";-0.0862611847156288
"id11";"hit";1574;0.469594452793322;0.168238827062356;"m7";-0.0862611847156288
"id11";"incorrect";6384;0.482164302124829;0.50157216039569;"m15";-0.0862611847156288
"id11";"hit";4100;-0.327372783173174;-0.165094506270977;"m8";-0.0862611847156288
"id11";"incorrect";2011;0.287525579231218;-0.165094506270977;"m7";-0.0862611847156288
"id11";"incorrect";4587;0.361617386404639;-0.165094506270977;"m7";-0.0862611847156288
"id11";"hit";2044;-0.342791151880674;-0.49842783960431;"m8";-0.0862611847156288
"id11";"hit";2124;0.406890662444348;0.50157216039569;"m2";-0.0862611847156288
"id11";"incorrect";3428;0.422793885513719;0.168238827062356;"m7";-0.0862611847156288
"id11";"hit";1957;0.149093598237509;0.50157216039569;"m16";-0.0862611847156288
"id11";"incorrect";1883;0.392448063140114;-0.49842783960431;"m14";-0.0862611847156288
"id11";"hit";2137;0.252616065176503;0.50157216039569;"m12";-0.0862611847156288
